ISBN,Title,Price
9780000012494,N/A,"30,07"
9780001386440,N/A,"12,88"
9780001713109,N/A,"26,06"
9780001713246,N/A,"29,71"
9780001714533,N/A,"28,60"
9780001714540,N/A,"25,34"
9780001720619,N/A,"29,80"
9780001831797,N/A,"28,08"
9780001837393,N/A,"80,3"
9780001840263,N/A,"28,45"
9780001840867,N/A,"10,02"
9780001844421,N/A,"29,38"
9780001854338,N/A,"27,25"
9780001856875,N/A,"31,54"
9780001857339,N/A,"53,60"
9780001944923,N/A,"54,44"
9780001951280,N/A,"39,99"
9780001981188,N/A,"31,24"
9780001982079,N/A,"44,74"
9780001983571,N/A,"25,34"
9780001984004,N/A,"97,5"
9780001984240,N/A,"28,45"
9780002000178,N/A,"88,48"
9780002000192,N/A,"13,90"
9780002000390,N/A,"48,87"
9780002000604,N/A,"40,98"
9780002000987,N/A,"49,99"
9780002005104,N/A,"96,96"
9780002005555,N/A,"30,96"
9780002006705,N/A,"23,-"
9780002006873,N/A,"90,35"
9780002006903,N/A,"15,50"
9780002007184,N/A,"69,35"
9780002007245,N/A,"37,30"
9780002008075,N/A,"74,78"
9780002008471,N/A,"30,22"
9780002008815,N/A,"16,20"
9780002114981,N/A,"93,15"
9780002118477,N/A,"51,75"
9780002119528,N/A,"14,95"
9780002150842,N/A,"14,20"
9780002151399,N/A,"28,45"
9780002151658,N/A,"45,33"
9780002151962,N/A,"26,43"
9780002153560,N/A,"18,49"
9780002154123,N/A,"45,18"
9780002158688,N/A,"29,50"
9780002158961,N/A,"29,36"
9780002159616,N/A,"37,43"
9780002160780,N/A,"74,84"
9780002160940,N/A,"59,55"
9780002161947,N/A,"24,95"
9780002161978,N/A,"28,29"
9780002163651,N/A,"24,75"
9780002163705,N/A,"39,99"
9780002164696,N/A,"20,50"
9780002167352,N/A,"28,22"
9780002171892,N/A,"22,95"
9780002175357,N/A,"14,69"
9780002175760,N/A,"80,14"
9780002177085,N/A,"60,85"
9780002177122,N/A,"19,95"
9780002177597,N/A,"27,51"
9780002177702,N/A,"25,99"
9780002178242,N/A,"27,25"
9780002178415,N/A,"27,51"
